Feature,Importance_Mean,Importance_Std
approval_rate_2nd,0.10395669203698592,0.006075825221275699
Tuition fees up to date,0.058433872361102,0.006915015513362673
approval_rate_1st,0.021227061464419262,0.007057748692262993
Curricular units 2nd sem (grade),0.013011158521143628,0.006150417246283781
Course,0.009702572927910902,0.007018321538371283
Curricular units 2nd sem (approved),0.00885654485984957,0.004991162509586897
Mother's occupation,0.006330710371355441,0.002097558977627024
Scholarship holder,0.00483717429028081,0.004005872845967802
Unemployment rate,0.004468720867640985,0.0021887074021225525
Age at enrollment,0.0041832851378479806,0.0012193997369333747
Application mode,0.0038898822793261623,0.0021143253085664135
Curricular units 1st sem (approved),0.0037129883061676416,0.002312332735550388
Father's qualification,0.002964802405836897,0.0025610751945867004
Curricular units 2nd sem (credited),0.002421393314924458,0.0005216657487102739
GDP,0.0023853441680641518,0.0026848918419976526
Mother's qualification,0.0023568005643340275,0.005482857424743513
Admission grade,0.0018200472682412094,0.0015222480977851224
Debtor,0.0018079360729077233,0.0015037523926938873
Inflation rate,0.0015947019067090507,0.0011798013651956995
Curricular units 1st sem (evaluations),0.0014060132721193108,0.0010517913202097934
Previous qualification (grade),0.0005593607248785881,0.0017227158153574071
Previous qualification,0.0004490900964038813,0.000666478370005221
Displaced,0.00031176716505689763,0.00045398494704750763
Gender,1.4915591684228069e-05,0.0008102654295615272
Curricular units 1st sem (without evaluations),0.0,0.0
Curricular units 2nd sem (without evaluations),-0.00021235523779905563,0.00042471047559811126
Application order,-0.00023980786792405785,0.0007671357085997337
Curricular units 1st sem (grade),-0.00037354285464481497,0.0020651658348784653
Curricular units 2nd sem (evaluations),-0.0004835420004186908,0.0013179107535474235
Marital status,-0.001124520101421478,0.001905626369575605
grade_trend,-0.0011370420063234964,0.0009821545510295237
Curricular units 2nd sem (enrolled),-0.0011614999025890472,0.0016291497602167848
Daytime/evening attendance,-0.0022117271076204535,0.0004321335045841202
