Model,Split,Accuracy,Precision_macro,Recall_macro,F1_macro
LogisticRegression_tuned,Train,0.7877906976744186,0.7539049861123056,0.7647971601140716,0.7534687538826906
LogisticRegression_tuned,Test,0.7341867469879518,0.7036707995117976,0.7087193851899735,0.6971724849256122
LogisticRegression_tuned,All,0.7716998191681737,0.7382821667401532,0.7479686900286202,0.7362980995992162
DecisionTree_tuned,Train,0.7341731266149871,0.7262619799654583,0.7254707976781303,0.7079303471274822
DecisionTree_tuned,Test,0.6995481927710844,0.6908393586650795,0.6845878326109762,0.669631610516327
DecisionTree_tuned,All,0.7237793851717902,0.7154970829879109,0.7132040954089017,0.6963569871482785
RandomForest_tuned,Train,0.9547803617571059,0.9473075342117917,0.9492924223486111,0.947630395600436
RandomForest_tuned,Test,0.7605421686746988,0.7142598666814518,0.7063721663528799,0.7088969004675821
RandomForest_tuned,All,0.8964737793851718,0.8774946123006098,0.8764151914059232,0.876083124541306
ExtraTrees_tuned,Train,0.9221576227390181,0.9055964554412786,0.9177849616834471,0.9091075530240543
ExtraTrees_tuned,Test,0.7575301204819277,0.7168218876682189,0.7193245520150052,0.7138975607420286
ExtraTrees_tuned,All,0.8727396021699819,0.8475918571412708,0.858239367544455,0.8497581459974587
GradientBoosting_tuned,Train,0.8640180878552972,0.8518784370758642,0.8088468719689522,0.8254723613384382
GradientBoosting_tuned,Test,0.7718373493975904,0.7148302842305522,0.6957010631070419,0.7026771372376316
GradientBoosting_tuned,All,0.8363471971066908,0.8100118604055219,0.7749024194939261,0.7883597927042407
HistGradientBoosting_tuned,Train,0.8404392764857881,0.8133975689603536,0.832710851525401,0.8167083766643922
HistGradientBoosting_tuned,Test,0.7462349397590361,0.7113866007375136,0.7173835486275216,0.7071571381091292
HistGradientBoosting_tuned,All,0.8121609403254972,0.7821449770707559,0.7981127302530685,0.7834281684303651
LinearSVM_tuned,Train,0.7971576227390181,0.7557896144686795,0.7374805229726693,0.7449290228978241
LinearSVM_tuned,Test,0.7605421686746988,0.7093642832398385,0.6995960216789533,0.7029387235895643
LinearSVM_tuned,All,0.7861663652802894,0.7410495072389086,0.726109167956929,0.7320869979792644
RBF_SVM_tuned,Train,0.8914728682170543,0.8704355042709208,0.8906842780322427,0.8758236483119949
RBF_SVM_tuned,Test,0.7484939759036144,0.7066506981985902,0.7128209837949472,0.7053643549194369
RBF_SVM_tuned,All,0.8485533453887885,0.8205347671568332,0.8373243093204814,0.8242187239347386
MLP_tuned,Train,0.998062015503876,0.9985893857770277,0.9970509628826596,0.9978152903277744
MLP_tuned,Test,0.7296686746987951,0.6707675495019271,0.671885652117089,0.6712006126116555
MLP_tuned,All,0.9174954792043399,0.8982057818896894,0.8994974498972974,0.8988409329463964
